query,lat,long,lat_min,lat_max,lon_min,lon_max
Finland,63.2467777,25.9209164,59.4541578,70.0922939,19.0832098,31.5867071
Gabon,-0.8999695,11.6899699,-4.1012261,2.3182171,8.5002246,14.539444
Gambia,13.470062,-15.4900464,13.061,13.8253137,-17.0288254,-13.797778
Georgia,32.3293809,-83.1137366,30.355757,35.0013544,-85.6052418,-80.751429
Germany,51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
Ghana,8.0300284,-1.0800271,4.5392525,11.1748562,-3.260786,1.2732942
Greece,38.9953683,21.9877132,34.7006096,41.7488889,19.2477876,29.7296986
Grenada,12.1360374,-61.6904045,11.786,12.5966532,-62.0065868,-61.1732143
Guatemala,15.6356088,-89.8988087,13.6345804,17.8165947,-92.3105242,-88.1755849
Guinea,10.7226226,-10.7083587,7.1906045,12.67563,-15.5680508,-7.6379222
Guinea-Bissau,12.100035,-14.9000214,10.6514215,12.6862384,-16.894523,-13.6348777
Guyana,4.8417097,-58.6416891,1.1710017,8.6038842,-61.4089403,-56.4689543
Haiti,19.1399952,-72.3570972,17.9099291,20.2181368,-75.2384618,-71.6217461
Honduras,15.2572432,-86.0755145,12.9808485,17.619526,-89.3568207,-82.1729621
Hungray,47.0409321,17.1953773769972,47.0403205,47.0415532,17.1943415,17.1957279
Iceland,64.9841821,-18.1059013,63.0859177,67.353,-25.0135069,-12.8046162
India,22.3511148,78.6677428,6.2325274,35.6745457,68.1113787,97.395561
Indonesia,-2.4833826,117.8902853,-11.2085669,6.2744496,94.7717124,141.0200345
Iran,32.9407495,52.9471344,24.8465103,39.7824624,44.0318908,63.3332704
Iraq,33.0955793,44.1749775,29.0585661,37.3806687,38.7936719,48.8412702
Ireland,52.865196,-7.9794599,51.222,55.636,-11.0133788,-5.6582363
Israel,30.8760272,35.0015196,29.4533796,33.3356317,34.2674994,35.8950234
Italy,42.6384261,12.674297,35.2889616,47.0921462,6.6272658,18.7844746
Jamaica,18.1152958,-77.1598454610168,17.7055633,18.5251135,-78.3689286,-76.1829608
Japan,36.5748441,139.2394179,20.2145811,45.7112046,122.7141754,154.205541
Jordan,31.1667049,36.941628,29.183401,33.3750617,34.8844372,39.3012981
Kazakhstan,47.2286086,65.2093197,40.5686476,55.4421701,46.4932179,87.3156316
Kenya,1.4419683,38.4313975,-4.8995204,4.62,33.9096888,41.9067502
Kiribati,0.4483283,-171.6645388,-11.646,4.9,-174.743355,177.0479136
Kuwait,29.2733964,47.4979476,28.5243622,30.1038082,46.5526837,49.0046809
