country,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Syria,,,,,,,,,,,11.5,,11.3,,,,,6,11.1,,,,,10,,,10.1,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,14.9,,15,,8.3,,,13.3,,,,
Tanzania,,,,,,,,,25.1,,,,,26.9,,,25.3,,,,,16.7,,,,,15.9,16.2,13.6,,13,13.4,13.7,
Thailand,,,,,20.2,,,,,,16.3,,15.4,,,,,,,,,,,7,,,,,,9.2,,,,6.7
Timor-Leste,,,,,,,,,,,,,,,,,,,,40.6,41.5,,,,48.6,,45.3,,,,37.7,,,
Togo,,,,,,21.7,,,,,,,,16.7,,23.8,,,,,,,,22.3,,20.5,,16.5,,,,16.2,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,
Trinidad and Tobago,,,,,6.2,,,,,,,,,,,,,4.4,,,,,,,,,,,5.5,,,,,
Tunisia,,,,,,7.9,,,,,,,,,3.3,,,3.5,,,,,,3.3,,,,,,2.3,,,,
Turkey,,,,,,,,,,,8.7,,9,,,7,,,,,,3.5,,,,1.7,,,,,1.9,,,
Turkmenistan,,,,,,,,,,,,,,,,,,10.5,,,,,,9.2,,,,,,,,,3.2,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,
Uganda,,,,,,19.7,,,,,,,20.8,,,,,19,,,,,,16.4,,,,,14.1,12,,,,10.5
Ukraine,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,
United States,,,,,,,,,0.9,,,,,,,,,,1.1,,,,1.1,,,,0.8,,,0.5,,,,
Uruguay,,,,,6.5,,,,,,,,,,,,4.7,,,5.4,5.1,6,,,4.2,,,,4,,,,,
Uzbekistan,,,,,,,,,,,,,,13.3,,,,,,7.1,,,,4.4,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,10.6,,,,,,,,,,,11.7,,,,,,10.7,,,
Venezuela,,,,,3.9,,,6.7,5.4,4.5,4,3.9,4.1,4.4,4.5,4.6,4.1,3.9,4,4.2,4.6,4.5,4.1,3.9,3.7,3.2,2.9,,,,,,,
Vietnam,,,,,,40.7,,,,,36.9,40.6,,,,35.8,31.1,26.7,,23.4,24.6,23.8,22.7,22.1,22.6,20.2,,17.5,12,,15.3,14.5,14.1,
Yemen,,,,,,,,,29.6,,,,,34.2,47.6,,,,,,43.1,,,,,,,,35.5,,16.3,,,
Zambia,,,,,,,,,,21.2,,,,19.6,,,19.6,,,23.3,,,,,14.9,,,,,,14.8,,,
Zimbabwe,,,,,10.5,8,,,,,,11.8,,,,,11.5,,,,,,14,,,,12.7,10.1,,,,11.2,8.4,
